iter	Passed	Remaining
0	47	47839
1	50	24964
2	55	18503
3	60	14969
4	63	12556
5	66	10940
6	67	9561
7	68	8495
8	69	7660
9	72	7208
10	76	6869
11	79	6543
12	86	6543
13	87	6140
14	88	5786
15	92	5678
16	94	5479
17	97	5296
18	98	5068
19	99	4876
20	100	4689
21	106	4754
22	108	4621
23	110	4486
24	111	4334
25	112	4211
26	113	4093
27	114	3970
28	115	3856
29	118	3842
30	124	3879
31	125	3808
32	127	3733
33	128	3659
34	130	3594
35	140	3754
36	141	3674
37	142	3595
38	142	3520
39	143	3446
40	144	3384
41	146	3331
42	146	3269
43	147	3206
44	151	3220
45	154	3195
46	154	3139
47	157	3124
48	158	3076
49	159	3022
50	160	2978
51	162	2967
52	163	2930
53	164	2886
54	166	2860
55	168	2835
56	171	2842
57	172	2806
58	174	2779
59	175	2745
60	176	2712
61	178	2704
62	182	2719
63	186	2724
64	191	2756
65	192	2726
66	193	2692
67	194	2659
68	196	2657
69	197	2629
70	199	2609
71	201	2591
72	202	2569
73	203	2547
74	208	2576
75	209	2551
76	210	2527
77	214	2535
78	216	2518
79	219	2522
80	221	2509
81	222	2486
82	222	2463
83	223	2439
84	224	2417
85	225	2395
86	226	2373
87	226	2350
88	229	2348
89	231	2338
90	234	2346
91	240	2369
92	240	2349
93	241	2330
94	242	2311
95	243	2292
96	244	2276
97	246	2264
98	247	2253
99	250	2250
100	252	2244
101	255	2246
102	255	2228
103	257	2222
104	258	2206
105	259	2192
106	260	2175
107	263	2176
108	265	2171
109	272	2204
110	273	2194
111	274	2178
112	275	2161
113	276	2145
114	276	2129
115	277	2115
116	278	2102
117	285	2130
118	286	2121
119	289	2126
120	291	2118
121	292	2105
122	293	2095
123	300	2120
124	304	2128
125	305	2116
126	308	2124
127	309	2111
128	310	2098
129	312	2090
130	313	2078
131	318	2092
132	320	2090
133	324	2094
134	325	2087
135	327	2080
136	328	2068
137	329	2056
138	330	2045
139	331	2038
140	333	2029
141	334	2018
142	334	2005
143	335	1994
144	338	1997
145	340	1989
146	345	2002
147	346	1993
148	347	1984
149	350	1983
150	350	1973
151	351	1962
152	353	1954
153	354	1945
154	355	1936
155	355	1925
156	356	1914
157	357	1904
158	358	1894
159	359	1885
160	361	1883
161	362	1875
162	363	1867
163	364	1859
164	365	1851
165	368	1849
166	369	1842
167	370	1835
168	371	1828
169	374	1827
170	375	1818
171	378	1823
172	379	1815
173	380	1806
174	381	1797
175	384	1800
176	386	1795
177	388	1794
178	393	1802
179	394	1798
180	397	1797
181	398	1793
182	401	1793
183	405	1799
184	407	1796
185	408	1788
186	409	1780
187	410	1774
188	418	1794
189	420	1793
190	422	1790
191	424	1784
192	424	1776
193	426	1771
194	427	1764
195	430	1764
196	435	1773
197	437	1773
198	439	1770
199	440	1762
200	441	1755
201	442	1748
202	443	1741
203	444	1735
204	447	1734
205	453	1747
206	455	1743
207	456	1737
208	458	1735
209	459	1730
210	465	1739
211	471	1753
212	474	1753
213	476	1750
214	478	1747
215	479	1741
216	481	1735
217	482	1731
218	484	1727
219	486	1725
220	489	1726
221	491	1721
222	492	1714
223	493	1708
224	493	1701
225	494	1693
226	495	1687
227	496	1680
228	497	1674
229	498	1668
230	499	1662
231	500	1656
232	501	1650
233	505	1654
234	508	1654
235	509	1649
236	510	1643
237	511	1637
238	512	1630
239	513	1626
240	515	1622
241	516	1617
242	517	1612
243	519	1610
244	522	1611
245	524	1607
246	525	1603
247	527	1598
248	529	1596
249	530	1592
250	534	1594
251	536	1593
252	537	1588
253	538	1581
254	539	1576
255	540	1570
256	541	1566
257	542	1560
258	543	1555
259	546	1555
260	549	1555
261	551	1553
262	553	1550
263	556	1550
264	557	1546
265	558	1540
266	559	1535
267	560	1529
268	561	1526
269	562	1521
270	563	1516
271	564	1511
272	565	1506
273	567	1503
274	568	1499
275	570	1496
276	571	1491
277	572	1487
278	574	1483
279	575	1479
280	577	1477
281	578	1473
282	579	1468
283	580	1464
284	582	1461
285	583	1457
286	585	1454
287	588	1456
288	590	1453
289	593	1452
290	595	1451
291	597	1449
292	598	1444
293	601	1443
294	602	1439
295	603	1435
296	604	1431
297	606	1429
298	607	1425
299	610	1424
300	611	1419
301	612	1416
302	615	1416
303	616	1412
304	618	1408
305	619	1404
306	620	1399
307	622	1398
308	625	1398
309	627	1397
310	629	1395
311	633	1395
312	634	1392
313	635	1389
314	637	1385
315	638	1382
316	640	1380
317	645	1383
318	647	1382
319	649	1379
320	650	1375
321	651	1371
322	652	1367
323	653	1363
324	654	1358
325	657	1358
326	661	1362
327	665	1363
328	667	1362
329	669	1359
330	671	1357
331	673	1355
332	675	1352
333	676	1348
334	677	1343
335	683	1350
336	685	1347
337	688	1349
338	692	1351
339	694	1347
340	695	1343
341	698	1343
342	700	1342
343	702	1339
344	706	1341
345	708	1338
346	709	1335
347	710	1331
348	711	1327
349	715	1328
350	716	1325
351	718	1322
352	721	1322
353	722	1319
354	723	1314
355	724	1311
356	725	1307
357	727	1304
358	728	1300
359	729	1296
360	732	1297
361	734	1294
362	735	1291
363	737	1288
364	738	1285
365	739	1281
366	740	1277
367	741	1274
368	743	1270
369	744	1266
370	745	1263
371	746	1259
372	748	1258
373	752	1258
374	753	1256
375	755	1254
376	757	1252
377	759	1249
378	760	1246
379	762	1243
380	764	1241
381	765	1238
382	770	1241
383	771	1237
384	773	1235
385	774	1231
386	776	1229
387	777	1226
388	778	1223
389	783	1225
390	785	1222
391	787	1221
392	788	1218
393	790	1215
394	791	1212
395	793	1210
396	794	1206
397	795	1203
398	796	1200
399	797	1196
400	799	1193
401	800	1190
402	802	1188
403	805	1188
404	806	1185
405	807	1181
406	809	1179
407	810	1175
408	811	1172
409	813	1170
410	814	1167
411	815	1164
412	816	1161
413	819	1160
414	820	1156
415	821	1153
416	823	1151
417	824	1148
418	825	1145
419	827	1142
420	828	1139
421	830	1137
422	832	1135
423	833	1132
424	835	1130
425	838	1129
426	839	1125
427	840	1122
428	841	1119
429	842	1116
430	845	1116
431	847	1114
432	850	1113
433	852	1111
434	854	1109
435	854	1105
436	855	1102
437	858	1101
438	859	1098
439	861	1096
440	862	1093
441	864	1091
442	866	1089
443	868	1087
444	870	1085
445	870	1081
446	871	1078
447	872	1075
448	873	1072
449	874	1068
450	875	1066
451	876	1062
452	878	1060
453	880	1059
454	882	1057
455	883	1053
456	885	1051
457	886	1049
458	887	1045
459	888	1042
460	888	1039
461	889	1036
462	890	1032
463	891	1029
464	892	1026
465	892	1023
466	893	1019
467	895	1017
468	896	1015
469	899	1014
470	900	1010
471	901	1008
472	902	1005
473	904	1003
474	906	1001
475	907	998
476	908	995
477	909	993
478	910	990
479	913	989
480	918	991
481	920	988
482	922	987
483	923	984
484	926	984
485	930	984
486	934	984
487	935	981
488	938	981
489	940	978
490	941	976
491	943	973
492	949	976
493	951	974
494	954	973
495	956	971
496	958	969
497	961	969
498	962	966
499	966	966
500	968	964
501	971	963
502	976	964
503	977	962
504	979	959
505	983	960
506	985	958
507	988	957
508	989	954
509	990	951
510	991	949
511	992	946
512	993	943
513	995	940
514	996	938
515	999	937
516	1000	935
517	1003	933
518	1004	930
519	1005	928
520	1008	927
521	1010	925
522	1012	923
523	1013	920
524	1015	919
525	1018	917
526	1020	915
527	1021	913
528	1024	912
529	1025	909
530	1027	907
531	1030	906
532	1031	904
533	1033	901
534	1035	899
535	1040	901
536	1043	899
537	1045	897
538	1048	896
539	1049	894
540	1051	891
541	1053	889
542	1054	887
543	1055	884
544	1056	882
545	1058	879
546	1059	877
547	1060	874
548	1063	873
549	1065	872
550	1068	870
551	1070	868
552	1071	866
553	1072	863
554	1073	860
555	1075	858
556	1076	855
557	1077	853
558	1080	852
559	1081	849
560	1084	848
561	1085	845
562	1086	843
563	1087	840
564	1088	838
565	1089	835
566	1090	832
567	1091	830
568	1092	827
569	1093	825
570	1095	822
571	1096	820
572	1097	818
573	1098	815
574	1100	813
575	1101	811
576	1102	808
577	1103	806
578	1105	803
579	1107	801
580	1108	799
581	1109	797
582	1110	794
583	1112	792
584	1113	789
585	1114	787
586	1115	784
587	1115	781
588	1117	780
589	1118	777
590	1120	775
591	1121	772
592	1123	770
593	1126	770
594	1127	767
595	1129	765
596	1130	763
597	1131	760
598	1132	758
599	1133	755
600	1135	753
601	1136	751
602	1137	748
603	1139	747
604	1140	744
605	1143	743
606	1145	741
607	1146	738
608	1146	736
609	1147	733
610	1148	731
611	1149	728
612	1150	726
613	1151	723
614	1155	723
615	1156	721
616	1158	719
617	1159	716
618	1160	714
619	1161	711
620	1162	709
621	1163	707
622	1164	704
623	1165	702
624	1167	700
625	1169	698
626	1170	696
627	1171	693
628	1172	691
629	1173	689
630	1174	686
631	1176	684
632	1177	682
633	1178	680
634	1179	677
635	1180	675
636	1181	673
637	1182	671
638	1184	669
639	1185	667
640	1187	665
641	1189	663
642	1190	661
